FID	OBJECTID	SYSTEMSTOP	STREET	CROSS_ST	DIR	POS	ROUTESSTPG	OWLROUTES	CITY	STATUS	PUBLIC_NAM	POINT_X	POINT_Y
4981	4795	9919	NORTHWEST HWY	PROSPECT	SEB	FS	68	 	PARK RIDGE	1	Northwest Hwy & Prospect	-87.82924013	42.01090753
4982	4796	11203	LAWNDALE	30TH STREET	SB	NS	82	 	CHICAGO	1	Lawndale & 30th Street	-87.717144	41.838924
4983	4797	9995	KEDZIE	82ND STREET	NB	NS	52A	 	CHICAGO	1	Kedzie & 82nd Street	-87.70217	41.744243
4984	4798	15711	HARLEM	CORTLAND	NB	NS	"90,307"	 	CHICAGO	1	Harlem & Cortland	-87.80586447	41.9141612
4985	4799	15713	HARLEM	DICKENS	NB	NS	"90,307"	 	CHICAGO	1	Harlem & Dickens	-87.80589455	41.91794019
4986	4800	5095	WALLACE	41ST STREET (south leg)	NB	NS	44	 	CHICAGO	1	Wallace & 41st Street	-87.64088355	41.819825
4987	4801	5276	100TH STREET	LUELLA	WB	FS	15	 	CHICAGO	1	100th Street & Luella	-87.56828524	41.71352788
4988	4802	343	ROOSEVELT	WOLCOTT	WB	NS	12	 	CHICAGO	1	Roosevelt & Wolcott	-87.67353822	41.86695936
4989	4803	12640	CENTRAL STREET	GIRARD	WB	FS	201	 	EVANSTON	1	Central Street & Girard (Purple Line)	-87.68546911	42.06424442
4990	4804	2635	79TH STREET	CALUMET	WB	NS	79	N79	CHICAGO	1	79th Street & Calumet	-87.616303	41.75114
4991	4805	2636	79TH STREET	PRAIRIE	WB	NS	79	N79	CHICAGO	1	79th Street & Prairie	-87.617912	41.751113
4992	4806	12431	119TH STREET	MARSHFIELD	WB	FS	119	 	CHICAGO	1	119th Street & Marshfield	-87.6627265	41.67758193
4993	4807	9211	51ST STREET	HOYNE	WB	NS	51	 	CHICAGO	1	51st Street & Hoyne	-87.67682442	41.80128376
4994	4808	3803	LAWRENCE	SPAULDING	WB	NS	81	N81	CHICAGO	1	Lawrence & Spaulding	-87.71079556	41.96848388
4995	4809	15147	67TH STREET	PAXTON	WB	FT	"6,26,67"	 	CHICAGO	1	67th Street & Paxton	-87.57184446	41.7735536
4996	4810	11088	DIVERSEY	LECLAIRE	WB	NS	76	 	CHICAGO	1	Diversey & Leclaire	-87.75380273	41.93152154
4997	4811	4680	63RD STREET	NEW ENGLAND(west leg)	WB	NS	63W	 	CHICAGO	1	63rd Street & New England	-87.79398875	41.77751231
4998	4812	9733	GUNNISON	NATOMA	WB	NS	81W	 	HARWOOD HEIGHTS	1	Gunnison & Natoma	-87.79268931	41.96844451
4999	4813	5757	WAVELAND	BROADWAY	WB	FS	8	 	CHICAGO	1	Waveland & Broadway	-87.64868418	41.94918726
5000	4814	7092	104TH STREET	TORRENCE	WB	NS	71	 	CHICAGO	1	104th Street & Torrence	-87.55945777	41.7064573
5001	4815	16087	MADISON	CAMPBELL(east leg)	WB	FS	20	N20	CHICAGO	1	Madison & Campbell	-87.68874093	41.88121399
5002	4816	6965	CERMAK	WISCONSIN	WB	NS	"21,322"	 	BERWYN	1	Cermak & Wisconsin	-87.80076042	41.85055301
5003	4817	14695	GOLF ROAD	KENTON	WB	NS	205	 	SKOKIE	2	Golf Road & Kenton	-87.74184027	42.05533021
5004	4818	10838	71ST STREET	DREXEL	WB	MT	71	 	CHICAGO	1	71st Street & Drexel	-87.603047	41.765878
5005	4819	14248	GOLF ROAD	CRAWFORD	WB	NS	205	 	EVANSTON	2	Golf Road & Crawford	-87.72737123	42.055334
